Year Reported to CDP,Account Number,Organization,City,Country,,CDP Region,Reporting Authority,Access,City-wide Emissions Inventory,Accounting Year,Inventory Boundary,Primary Protocol,Primary Protocol Comment,Common Reporting Framework inventory format (GPC) ,Gases Included,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total generation of grid supplied energy ,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total generation of grid supplied energy ,Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Total Scope 3 emissions (metric tonnes CO2e),Total BASIC Emissions (GPC),Total BASIC+ Emissions (GPC),Chnage in emissions,Reason for change,​Land area (in square km),Population,Population Year,City Location,Last update,Water 2014 - Number of drivers,City,lon,lat,Per capita Emissions (tonnes),Country total emissions 2020 (tonnes)
2018,55799,"Arlington, VA",Arlington,United States,United States,North America,CDP Cities,public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,1067210,1151809,40983,2260001,,Decreased,Policy change,,222800,2016,POINT (-76.0026 37.2265),2020-01-12T04:30:40.780,,POINT,-76.0026,37.2265,10.14363106,6718634480
2019,52897,City of Aspen,Aspen,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2017-01-01 - 2017-12-31,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),The inventory is also compliant with the guidelines that are laid out in the U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI).,No,"CH4, CO2, N20",,,,,,,186961,82643,35715,305319,,Decreased,Other: Electric utility generation mix changes toward renewable energy.,,9003,2017,POINT (-106.837 39.195),2020-01-12T04:30:42.857,59,POINT,-106.837,39.195,33.91302899,6718634480
2018,31149,City of Athens,Athens,Greece,Greece,Europe,"CDP Cities, C40",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,1330352,2697612,443058,4391579,4471023,Decreased,Technological change,,664046,2011,POINT (23.7275 37.9838),2020-01-12T04:30:40.780,,POINT,23.7275,37.9838,6.61336564,96146809.26
2019,31149,City of Athens,Athens,Greece,Greece,Europe,"CDP Cities, C40, Global Covenant of Mayors",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,1175500,2038412,614277,3537650,3828189,Increased,Increased energy/electricity consumption,,664046,2011,POINT (23.7275 37.9838),2020-01-12T04:30:42.857,,POINT,23.7275,37.9838,5.327417077,96146809.26
2018,1093,City of Atlanta,Atlanta,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2998249,4582255,0,7580504,0,Decreased,Change in available data,,450182,2017,POINT (-84.388 33.749),2020-01-12T04:30:40.780,,POINT,-84.388,33.749,16.8387541,6718634480
2018,43932,Auckland Council,Auckland,New Zealand,New Zealand,Southeast Asia and Oceania,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,9118050,1089611,578066,7750281,10266557,Increased,Population increase,,1657200,2017,POINT (174.742 -36.8153),2020-01-12T04:30:40.780,,POINT,174.742,-36.8153,4.67673244,83680846.85
2019,43932,Auckland Council,Auckland,New Zealand,New Zealand,Southeast Asia and Oceania,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Version 1 (published in 2014),No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,8388906,861222,876233,7551034,10126329,Decreased,Other,,1614400,2016,POINT (174.742 -36.8153),2020-01-12T04:30:42.857,,POINT,174.742,-36.8153,4.677300545,83680846.85
2018,1184,City of Austin,Austin,United States,United States,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,8251485,6343684,0,12527277,13486797,Decreased,Policy change,,1265974,2017,POINT (-97.7431 30.2672),2020-01-12T04:30:40.780,101,POINT,-97.7431,30.2672,9.895366729,6718634480
2019,1184,City of Austin,Austin,United States,United States,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2017-01-01 - 2017-12-31,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),We used GPC Basic reporting level and add IPCC emissions from industrial sources,No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,7964557,5616022,,11524547,12485799,Decreased,Policy change,,1227000,2017,POINT (-97.7431 30.2672),2020-01-12T04:30:42.857,101,POINT,-97.7431,30.2672,9.392458843,6718634480
2018,58395,Bærum Kommune,Bærum,Norway,Norway,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,219503,2445,10520,232468,,Decreased,Legislative change,,125708,2017,POINT (10.5938 59.9205),2020-01-12T04:30:40.780,13,POINT,10.5938,59.9205,1.849269736,54286282.7
2019,1499,Ajuntament de Barcelona,Barcelona,Spain,Spain,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Barcelona's local Government uses it's own protocol, which takes into account IPCC 2016 and which has been parcialy adapted to the GPC Protocol.",No,"CH4, CO2, N20",,,,,,,2759033,734820,71082,2812730,,Decreased,,,1620343,2018,POINT (2.1775 41.3823),2020-01-12T04:30:42.857,,POINT,2.1775,41.3823,1.73588555,350341744.7
2018,1499,Ajuntament de Barcelona,Barcelona,Spain,Spain,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2955953,672916,48921,2822928,2822928,Increased,Change in weather conditions,,1604555,2015,POINT (2.1775 41.3823),2020-01-12T04:30:40.780,,POINT,2.1775,41.3823,1.759321432,350341744.7
2018,31151,City of Basel-Stadt,Basel,Switzerland,Switzerland,Europe,"CDP Cities, C40",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,783932,,,825704,853823,This is our first year of calculation,,,198988,2017,POINT (7.5928 47.5619),2020-01-12T04:30:40.780,38,POINT,7.5928,47.5619,4.149516554,47580910.13
2018,35848,Municipality of Belo Horizonte,Belo Horizonte,Brazil,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,3223716,542481,1619505,5385703,,Increased,Change in accounting methodology,,2375151,2010,POINT (-43.9345 -19.9167),2020-01-12T04:30:40.780,204,POINT,-43.9345,-19.9167,2.267520255,1105067347
2019,35848,Municipality of Belo Horizonte,Belo Horizonte,Brazil,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Emissões de GEE por consumo de combustível - Diferentes concentrações de biocombustíveis (etanol e biodiesel) foram estabelecidas pela autoridade nacional para a distribuição de Gasolina Automotiva e Diesel. Essas concentrações foram consideradas nos cálculos e aplicadas ao total de cada combustível verificado para o município, de acordo com os desenvolvimentos regulatórios do setor. Emissões de GEE para o consumo de eletricidade - As emissões indiretas de CO2 por consumo de eletricidade foram calculadas levando-se em consideração o fator de emissão médio do Sistema Interligado Nacional em cada ano do período considerado. Emissões de GEE por tratamento e lançamento de efluentes líquidos - Belo Horizonte possui 4 ETARs em operação, que emitem metano e óxido nitroso.Há uma quinta ETE que emprega processos físico-químicos que não emitem gases de efeito estufa. Uma fração do esgoto coletado em Belo Horizonte não é encaminhada para nenhuma estação de tratamento, sendo depositada diretamente no corpo d'água; outra fração de esgoto, que não é coletada, é presumivelmente tratada em sistemas sépticos (fossas sépticas), seguida de infiltração. Emissões de GEE por tratamento de resíduos sólidos urbanos - Aterro - Os resíduos sólidos gerados em Belo Horizonte são levados para disposição em aterro sanitário (CTR Macaúbas), onde não há sistema de recuperação de biogás. Assumiu-se que 100% do biogás gerado em resíduos sólidos urbanos em massa é liberado na atmosfera. Uma fração do lixo coletado na cidade ainda está disposta ao centro de tratamento maciço CTR-BR-040, em Belo Horizonte, em uma área separada onde, a partir de 2010, iniciou um sistema de geração termelétrica a partir do biogás gerado no aterro. Assim, o biogás derivado do antigo resíduo maciço não deve ser considerado no inventário de GEE a partir de 2010. É considerado apenas a fração derivada das provisões em área separada recente e não coberta pelo sistema de recuperação de biogás. Vale ressaltar que, de acordo com este modelo de decaimento de primeira ordem, para fins deste inventário, adotamos um período de 10 (dez) anos como degradação do horizonte de resíduos dentro do maciço. Compostagem - A BH também realiza compostagem para resíduos orgânicos. Essas atividades ocorrem no CTRS Rod BR-040 e podem incorrer em óxido nitroso e metano.",No,"CH4, CO2, N20",,,,,,,2484635.6,466725.77,1441939.49,4393300.86,,Decreased,Change in accounting methodology,,2513451,2016,POINT (-43.9345 -19.9167),2020-01-12T04:30:42.857,204,POINT,-43.9345,-19.9167,1.747915858,1105067347
2018,49787,City of Benicia,Benicia,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,93726.37,18171.37,14044.75,122687.97,125942.49,Decreased,Policy change,,27780,2016,POINT (-122.159 38.0494),2020-01-12T04:30:40.780,71,POINT,-122.159,38.0494,4.416413607,6718634480
2018,54623,Prefeitura de Betim,Betim,Brazil,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2013-01-01 - 2013-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,,,,1763018,1763018,This is our first year of calculation,,,378089,2010,POINT (-44.2012 -19.9673),2020-01-12T04:30:40.780,204,POINT,-44.2012,-19.9673,4.662970888,1105067347
2018,58621,Town of Blacksburg,Blacksburg,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,112096.953,222291.043,1887.192,334387.997,334387.997,Decreased,Change in weather conditions,,44563,2017,POINT (-80.4139 37.2296),2020-01-12T04:30:40.780,46,POINT,-80.4139,37.2296,7.503713776,6718634480
2019,54109,City of Bloomington,Bloomington,United States,United States,North America,"CDP Cities, Global Covenant of Mayors",public,Yes,2018-01-01 - 2018-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"The GPC methodology was chosen because it a comprehensive protocol that is used by cities across the world. It was also chosen in an attempt to establish a consistent methodology for GHG accounting going forward.Now that Bloomington is a part of the Global Covenant of Mayors, using the GPC is a requirement for GHG reporting. A new GHG inventory for the community will be completed by fall 2019 using GPC and guidance from ICLEI Local Governments for Sustainability ClearPath software.",No,"CH4, CO2, N20",,,,,,,627454,829264,182942,1639657,1639657,Do not know,Change in methodology,,84981,2018,POINT (-86.5264 39.1653),2020-01-12T04:30:42.857,46,POINT,-86.5264,39.1653,19.29439522,6718634480
2018,54109,City of Bloomington,Bloomington,United States,United States,North America,CDP Cities,public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,385100,849669,93841,1281983,1328610,Decreased,Technological change,,84067,2016,POINT (-86.5264 39.1653),2020-01-12T04:30:40.780,46,POINT,-86.5264,39.1653,15.24953906,6718634480
2019,35268,City of Boston,Boston,United States,United States,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"For its inventory, the City of Boston relies on a mix of actual measurements and modeled calculations. Actual measurements are available for electricity, natural gas, and steam (obtained directly from energy utilities), and all sources related to mass transit, the airport, and water and sewer (obtained from the regional authorities). Regional transportation models are used to calculate vehicle-miles-traveled in Boston, which are then split into diesel and gasoline based on the State diesel and gas consumption split. Then each fuel type is divided into the average fleet mix categories (ICLEI 2009) and the EPA emissions factor for each vehicle type are applied to calculate the GHG. Fuel oil consumption is estimated based on sampling, U.S. Census data, and some state consumption figures.",No,"CH4, CO2, N20",,,,,,,4059459,2262934,,6146099,6146099,Decreased,Other,,683015,2017,POINT (-71.0598 42.3584),2020-01-12T04:30:42.857,,POINT,-71.0598,42.3584,8.998483196,6718634480
2018,35268,City of Boston,Boston,United States,United States,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,3890790,2394298,,6116644,,Decreased,Technological change,,672840,2016,POINT (-71.0598 42.3584),2020-01-12T04:30:40.780,,POINT,-71.0598,42.3584,9.090785328,6718634480
2018,54104,City of Boulder,Boulder,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,771673,803264,163609,1598862,,Decreased,Behavioural change,,108707,2016,POINT (-105.252 40.0274),2020-01-12T04:30:40.780,46,POINT,-105.252,40.0274,14.70799489,6718634480
2018,74414,Boulder County,Boulder County,United States,United States,North America,CDP Cities,public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2321769,1908448,642817,3998878,4873034,Decreased,,,322226,2016,POINT (-105.5 40.15),2020-01-12T04:30:40.780,46,POINT,-105.5,40.15,12.41016554,6718634480
2019,54521,BCP Council,Bournemouth,United Kingdom,United Kingdom,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Consistent with previous reports,No,"CH4, CO2, N20",,,,,,,380799,,,731230,761873,Stayed the same,No new inventory to report,,193700,2016,POINT (-1.88076 50.7192),2020-01-12T04:30:42.857,,POINT,-1.88076,50.7192,3.775064533,509072265.6
2018,54521,BCP Council,Bournemouth,United Kingdom,United Kingdom,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2013-01-01 - 2013-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,380799,,,731230,761873,Stayed the same,No new inventory to report,,193700,2016,POINT (-1.88076 50.7192),2020-01-12T04:30:40.780,,POINT,-1.88076,50.7192,3.775064533,509072265.6
2018,63941,"Broward County, FL",Broward,United States,United States,North America,CDP Cities,public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,9303281.66,7576807.56,8327198.61,25207287.83,0,Increased,Population increase,,1870000,2014,POINT (80.3659 26.1901),2020-01-12T04:30:40.780,107,POINT,80.3659,26.1901,13.47983306,6718634480
2018,31155,City of Buenos Aires,Buenos Aires,Argentina,Argentina,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,16338506,4172769,2387575,13113673,13698330,Increased,Increased energy/electricity consumption,,2890151,2010,POINT (-58.3816 -34.6037),2020-01-12T04:30:40.780,,POINT,-58.3816,-34.6037,4.537366041,389306260.5
2019,31155,City of Buenos Aires,Buenos Aires,Argentina,Argentina,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"En el año 2015, el Gobierno de la Ciudad Autónoma de Buenos Aires adhirió al “Acuerdo de Alcaldes”. Con ello, asumió distintos compromisos, entre ellos el de adecuar sus Inventarios de Gases de Efecto Invernadero al nivel Básico del Protocolo Global para Inventarios de Gases de Efecto Invernadero a Escala de Comunidad (“Global Protocol for Community-Scale Greenhouse Gas Emission Inventories” - GPC ). En septiembre de ese año logró actualizar los inventarios desde el año 2000 hasta el 2014 a dicho estándar. Posteriormente, en el Plan de Acción frente al Cambio Climático 2020 (PACC) publicado por el GCBA en el año 2015, se publicaron los resultados de los inventarios del periodo 2000-2014. En los años siguientes se continuó trabajando en la actualización de los inventarios, elaborandose  a la fecha los inventarios para los años 2015 y 2016 para la Ciudad de Buenos Aires.",No,"CH4, CO2, N20",,,,,,,15633080,4186547,2480149,13100079,13764762,Decreased,Improved data accuracy,,3059122,2016,POINT (-58.3816 -34.6037),2020-01-12T04:30:42.857,,POINT,-58.3816,-34.6037,4.282300281,389306260.5
2018,50371,Municipalidad de Córdoba,Córdoba,Argentina,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,3762197,1336977,0,5099175,0,This is our first year of calculation,Previous data was not reliable,,1430000,2017,POINT (-64.1888 -31.4201),2020-01-12T04:30:40.780,,POINT,-64.1888,-31.4201,3.565856643,389306260.5
2019,50371,Municipalidad de Córdoba,Córdoba,Argentina,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),presentado y aceptado por Compact of Mayors,No,CO2,,,,,,,3762197,1336977,0,5099175,0,This is our first year of calculation,,,1430000,2017,POINT (-64.1888 -31.4201),2020-01-12T04:30:42.857,,POINT,-64.1888,-31.4201,3.565856643,389306260.5
2018,35475,City of Calgary,Calgary,Canada,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,10834502,7545045,179211,18378045,18557257,Increased,Population increase,,1246231,2017,POINT (-114.071 51.0486),2020-01-12T04:30:40.780,21,POINT,-114.071,51.0486,14.74690086,737274611.1
