City Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Reporting Authority,Access,City-wide Emissions Inventory,Accounting Year,Inventory Boundary,Primary Protocol,Primary Protocol Comment,Common Reporting Framework inventory format (GPC) ,Gases Included,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total generation of grid supplied energy ,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total generation of grid supplied energy ,Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Total Scope 3 emissions (metric tonnes CO2e),City Total BASIC Emissions (GPC),Total BASIC+ Emissions (GPC),Chnage in emissions,Reason for change,​Land area (in square km),Population,Population Year,City Location,Last update,Water 2014 - Number of drivers,City,lon,lat,Year to reach net zero,City total emissions (t),City per capita emissions (t),Country total emissions 2020 (t),Country per capita emissions 2020 (t)
2018,49787,City of Benicia,Benicia,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,93726.37,18171.37,14044.75,122687.97,125942.49,Decreased,Policy change,,27780,2016,POINT (-122.159 38.0494),2020-01-12T04:30:40.780,71,POINT,-122.159,38.0494,2028,122687.97,4.4,6718634480,20
2018,54623,Prefeitura de Betim,Betim,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2013-01-01 - 2013-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,,,,1763018,1763018,This is our first year of calculation,,,378089,2010,POINT (-44.2012 -19.9673),2020-01-12T04:30:40.780,204,POINT,-44.2012,-19.9673,> 2050,1763018,4.7,1105067347,5.2
2018,58621,Town of Blacksburg,Blacksburg,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,112096.953,222291.043,1887.192,334387.997,334387.997,Decreased,Change in weather conditions,,44563,2017,POINT (-80.4139 37.2296),2020-01-12T04:30:40.780,46,POINT,-80.4139,37.2296,2028,334387.997,7.5,6718634480,20
2019,54109,City of Bloomington,Bloomington,United States,North America,"CDP Cities, Global Covenant of Mayors",public,Yes,2018-01-01 - 2018-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"The GPC methodology was chosen because it a comprehensive protocol that is used by cities across the world. It was also chosen in an attempt to establish a consistent methodology for GHG accounting going forward.Now that Bloomington is a part of the Global Covenant of Mayors, using the GPC is a requirement for GHG reporting. A new GHG inventory for the community will be completed by fall 2019 using GPC and guidance from ICLEI Local Governments for Sustainability ClearPath software.",No,"CH4, CO2, N20",,,,,,,627454,829264,182942,1639657,1639657,Do not know,Change in methodology,,84981,2018,POINT (-86.5264 39.1653),2020-01-12T04:30:42.857,46,POINT,-86.5264,39.1653,2028,1639657,19.3,6718634480,20
2018,54109,City of Bloomington,Bloomington,United States,North America,CDP Cities,public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,385100,849669,93841,1281983,1328610,Decreased,Technological change,,84067,2016,POINT (-86.5264 39.1653),2020-01-12T04:30:40.780,46,POINT,-86.5264,39.1653,2028,1281983,15.2,6718634480,20
2019,35268,City of Boston,Boston,United States,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"For its inventory, the City of Boston relies on a mix of actual measurements and modeled calculations. Actual measurements are available for electricity, natural gas, and steam (obtained directly from energy utilities), and all sources related to mass transit, the airport, and water and sewer (obtained from the regional authorities). Regional transportation models are used to calculate vehicle-miles-traveled in Boston, which are then split into diesel and gasoline based on the State diesel and gas consumption split. Then each fuel type is divided into the average fleet mix categories (ICLEI 2009) and the EPA emissions factor for each vehicle type are applied to calculate the GHG. Fuel oil consumption is estimated based on sampling, U.S. Census data, and some state consumption figures.",No,"CH4, CO2, N20",,,,,,,4059459,2262934,,6146099,6146099,Decreased,Other,,683015,2017,POINT (-71.0598 42.3584),2020-01-12T04:30:42.857,,POINT,-71.0598,42.3584,2028,6146099,9,6718634480,20
2018,35268,City of Boston,Boston,United States,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,3890790,2394298,,6116644,,Decreased,Technological change,,672840,2016,POINT (-71.0598 42.3584),2020-01-12T04:30:40.780,,POINT,-71.0598,42.3584,2028,6116644,9.1,6718634480,20
2018,54104,City of Boulder,Boulder,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,771673,803264,163609,1598862,,Decreased,Behavioural change,,108707,2016,POINT (-105.252 40.0274),2020-01-12T04:30:40.780,46,POINT,-105.252,40.0274,2028,1598862,14.7,6718634480,20
2018,74414,Boulder County,Boulder County,United States,North America,CDP Cities,public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2321769,1908448,642817,3998878,4873034,Decreased,,,322226,2016,POINT (-105.5 40.15),2020-01-12T04:30:40.780,46,POINT,-105.5,40.15,2028,3998878,12.4,6718634480,20
2019,54521,BCP Council,Bournemouth,United Kingdom,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Consistent with previous reports,No,"CH4, CO2, N20",,,,,,,380799,,,731230,761873,Stayed the same,No new inventory to report,,193700,2016,POINT (-1.88076 50.7192),2020-01-12T04:30:42.857,,POINT,-1.88076,50.7192,2023,731230,3.8,509072265.6,7.5
2018,54521,BCP Council,Bournemouth,United Kingdom,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2013-01-01 - 2013-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,380799,,,731230,761873,Stayed the same,No new inventory to report,,193700,2016,POINT (-1.88076 50.7192),2020-01-12T04:30:40.780,,POINT,-1.88076,50.7192,2023,731230,3.8,509072265.6,7.5
2018,63941,"Broward County, FL",Broward,United States,North America,CDP Cities,public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,9303281.66,7576807.56,8327198.61,25207287.83,0,Increased,Population increase,,1870000,2014,POINT (80.3659 26.1901),2020-01-12T04:30:40.780,107,POINT,80.3659,26.1901,2028,25207287.83,13.5,6718634480,20
2018,31155,City of Buenos Aires,Buenos Aires,Argentina,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,16338506,4172769,2387575,13113673,13698330,Increased,Increased energy/electricity consumption,,2890151,2010,POINT (-58.3816 -34.6037),2020-01-12T04:30:40.780,,POINT,-58.3816,-34.6037,> 2050,13113673,4.5,389306260.5,8.6
2019,31155,City of Buenos Aires,Buenos Aires,Argentina,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"En el año 2015, el Gobierno de la Ciudad Autónoma de Buenos Aires adhirió al “Acuerdo de Alcaldes”. Con ello, asumió distintos compromisos, entre ellos el de adecuar sus Inventarios de Gases de Efecto Invernadero al nivel Básico del Protocolo Global para Inventarios de Gases de Efecto Invernadero a Escala de Comunidad (“Global Protocol for Community-Scale Greenhouse Gas Emission Inventories” - GPC ). En septiembre de ese año logró actualizar los inventarios desde el año 2000 hasta el 2014 a dicho estándar. Posteriormente, en el Plan de Acción frente al Cambio Climático 2020 (PACC) publicado por el GCBA en el año 2015, se publicaron los resultados de los inventarios del periodo 2000-2014. En los años siguientes se continuó trabajando en la actualización de los inventarios, elaborandose  a la fecha los inventarios para los años 2015 y 2016 para la Ciudad de Buenos Aires.",No,"CH4, CO2, N20",,,,,,,15633080,4186547,2480149,13100079,13764762,Decreased,Improved data accuracy,,3059122,2016,POINT (-58.3816 -34.6037),2020-01-12T04:30:42.857,,POINT,-58.3816,-34.6037,> 2050,13100079,4.3,389306260.5,8.6
2018,50371,Municipalidad de Córdoba,Córdoba,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,3762197,1336977,0,5099175,0,This is our first year of calculation,Previous data was not reliable,,1430000,2017,POINT (-64.1888 -31.4201),2020-01-12T04:30:40.780,,POINT,-64.1888,-31.4201,> 2050,5099175,3.6,389306260.5,8.6
2019,50371,Municipalidad de Córdoba,Córdoba,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),presentado y aceptado por Compact of Mayors,No,CO2,,,,,,,3762197,1336977,0,5099175,0,This is our first year of calculation,,,1430000,2017,POINT (-64.1888 -31.4201),2020-01-12T04:30:42.857,,POINT,-64.1888,-31.4201,> 2050,5099175,3.6,389306260.5,8.6
